Species;Lb (transformation length)mm;sigm(Lb);Rm;Phi;rB;Lp cm;Lm cm;MuP;Range λ
Anguilla anguilla;80;1,22833333333333;2500000;0,002;0,14;54;145;0,23;0.375146276
Menidia beryllina;24;3,41666666666667;223;0,113;1,14;4,5;15;0,992584295757427;0.725993556
Salvelinus alpinus;24,8;0,165;5400;0,013;0,0745;38,975;107;0,17;0.007316163
Salmo salar;26,67;0,145166666666667;10794;0,013;0,27;73,1;150;0,74;0.015237392
Salmo trutta;28;0,2;8616;0,013;0,24;20,2;94;0,67;0.006387648
Gasterosteus aculeatus;15;2;470;0,139;2,237;5,5;10;1,06;0.215372599
Danio rerio;14;1,66666666666667;500;0,033;1,2;2,5;3,8;1,515;0.655274356
Oryzias latipes;15,5;1,95;141;0,033;3,65;2,2;4,5;1,515;0.598626768
Chaetodon multicinctus;19,5;3,05;14509;0,001;1,33;7,1;9,5;0,518443144518921;0.263785121
Clupea harengus;41;0,6;141075;0,001;0,32;16,7;51;0,168333333333333;0.288910456
Gadus morhua;20;1,39166666666667;5900000;0,001;0,16;68,3;123;0,216;0.236474784
Micropterus salmoides;40;6,16666666666667;82000;0,016;0,245;25;70;0,45;0.458554720
Lepomis gibbosus;15;2,1;5000;0,008;0,395;7;20;0,54;0.259586627
Pomoxis annularis;16;1,23333333333333;325677;0,002;0,246;20,5;51;0,84;0.432596067
Perca fluviatilis;20;0,255;157594;0,041;0,332;19,2;40;1,17;0.743513803
Sander vitreus;20;0,236666666666667;600000;0,017;0,266;42,9;107;0,44;0.638279358
Gillichthys mirabilis;15;1;27000;0,013;0,79;10;21;4,76142857142857;1.766020742
Scophthalmus maximus;38,4;3,02166666666667;5000000;0,001;0,25;34,7;100;0,24625;0.545390702
Pleuronectes platessa;14;0,666666666666667;552000;0,007;0,13;30,8;100;0,14;0.330846209
Pseudopleuronectes americanus;13;0,176666666666667;648836;0,001;0,31;27,4;64;0,3;0.384588928
Anchoa mitchilli;20;3,03333333333333;21006;0,001;0,48;3,69;11;2,36;0.036576511
Engraulis encrasicolus;14,5;1,86666666666667;226500;0,001;0,47;11,5;21;0,9;0.020267565
Engraulis japonicus;40;6,16666666666667;160000;0,001;1,7;8,18;18;0,63;0.179834738
Engraulis mordax;35;0,535666666666667;21006;0,002;0,38;13,5;24;0,97;0.028173248
Sardina pilchardus;15,5;1,66666666666667;169000;0,001;0,36;14,3;27;0,667;0.016702150
Sprattus sprattus;25;3,58333333333333;14630;0,001;0,6;10;16;0,376511111111111;0.079079295
Rutilus rutilus;14,9;0,131666666666667;190000;0,033;0,107;10,27;50,2;0,4;0.019402551
Melanogrammus aeglefinus;20;1,39166666666667;969000;0,001;0,22;34,9;110;0,43;0.020487200
Trisopterus luscus;18;2,5;521738;0,001;0,43;19,2;46;1,33;0.066893382
Fundulus heteroclitus;20;2,5;243;0,68;0,446;3,7;13;0,54;0.022180160
Dicentrarchus labrax;17;0,225;520228;0,001;0,12;42;103;0,24;0.005650727
Acanthochromis polyacanthus;25;0,326666666666667;225;0,195;1,39181818181818;9,06976744186047;15,3;0,476636363636364;0.098199539
Ammodytes marines;50;0,766666666666667;13133;0,005;0,49;14;21;0,6;0.058552145
Solea solea;12;0,75;300000;0,001;0,32;24,6;70;0,1;0.011231122
